,address,rent,beds,baths,borough,hood,elevator,doorman,laundry,furnished,sqft,page
397,Prospect Place,2200,1,1,Brooklyn,Crown Heights,False,False,False,False,,2822
398,Wall St,3431,Studio,1,Manhattan,Financial District,True,True,True,False,623,2822
399,475 Lenox Road Apt 2,2950,4,1,Brooklyn,East Flatbush,False,False,False,False,1500,2822
400,Parsons Boulevard,2450,2,2,Queens,Flushing,False,False,False,False,,2822
401,Wall St,3885,1,1,Manhattan,Financial District,True,True,False,False,793,2822
402,Tenth Avenue,3188,Studio,1,Manhattan,Hell's Kitchen,False,True,True,False,,2822
403,Attorney St,7149,4,2,Manhattan,Lower East Side,False,False,True,False,,2822
408,Battery Place,2550,2,1,Manhattan,Battery Park City,True,True,False,False,,2820
409,E 87th St,2295,1,1,Manhattan,Yorkville,False,False,False,False,,2820
410,Lincoln Road,2955,2,1,Brooklyn,Prospect Lefferts Gardens,False,False,False,False,,2820
411,North 5th Street,4880,2,2,Brooklyn,Williamsburg,False,True,False,False,1039,2820
412,West Street,3450,1,1,Manhattan,Financial District,False,True,False,False,700,2820
413,Wall Street,4100,2,1,Manhattan,Financial District,True,True,True,False,,2820
414,Saratoga Ave,1949,1,1,Brooklyn,Brownsville,False,False,False,False,,2820
415,Waterfront,4000,2,2,Queens,Hunters Point,True,True,True,False,1200,2819
416,3RD AVE,2000,3,1,Brooklyn,Bay Ridge,False,False,False,False,1100,2819
417,Financial District NO FEE UNIT...,3015,1,1,Manhattan,Financial District,True,True,True,False,,2819
418,Webster Avenue,2400,3,2,Bronx,Fordham Heights,False,False,False,False,,2819
419,Foster Avenue,1850,1,1,Brooklyn,Flatbush,True,False,False,False,,2819
420,165 Street,2450,2,1,Queens,Murray Hill,True,False,False,False,,2819
421,North End Avenue,4375,1,1,Manhattan,Battery Park City,True,True,False,False,780,2819
422,Battery Place,3092,1,1,Manhattan,Battery Park City,True,True,False,False,700,2819
428,PROSPECT HEIGHTS,3223,2,1,Brooklyn,Prospect Heights,True,True,False,False,,2818
430,Wall,2685,2,1,Manhattan,Financial District,True,True,False,False,,2818
431,222 East 44th St,3715,Studio,1,Manhattan,Turtle Bay,False,False,False,False,,2818
432,Hunters Point Long Island Cit...,2595,Studio,1,Manhattan,Hunters Point,True,True,False,False,,2817
433,NO FEE // Renovated True Two i...,4800,2,1,Manhattan,East Village,True,False,False,False,,2817
434,Prince St.,3843,2,1,Manhattan,NoLita,False,False,True,False,,2816
435,Union Square South,4775,Studio,1,Manhattan,Flatiron District,True,True,False,False,,2816
436,West 52nd Street,3900,3,1,Manhattan,Hell's Kitchen,True,False,False,False,,2816
